line_no,sku,description,ply,length_mm,width_mm,height_mm,gsm_spec,burst_factor,item_type,weight_per_piece_g,monthly_qty,annual_qty,delivery_location
1,MF-CB-5P-001,Export carton RSC 5-ply 600x400x400,5,600,400,400,150/120/150/120/150,32,box,1318.1,3600,43200,Hosur
2,MF-CB-5P-002,Export carton RSC 5-ply 500x400x300,5,500,400,300,150/120/150/120/150,32,box,1046.1,4400,52800,Hosur
3,MF-CB-5P-003,Shipper carton 5-ply 450x300x300,5,450,300,300,150/120/120/120/150,28,box,724.1,6000,72000,Hosur
4,MF-CB-5P-004,Shipper carton 5-ply 400x300x250,5,400,300,250,150/120/120/120/150,28,box,623.6,7000,84000,Nelamangala
5,MF-CB-5P-005,Shipper carton 5-ply 380x280x220,5,380,280,220,150/120/120/120/150,28,box,538.1,8000,96000,Nelamangala
6,MF-CB-5P-006,Bulk carton 5-ply 700x500x450,5,700,500,450,180/120/150/120/180,32,box,2020.7,1200,14400,Hosur
7,MF-CB-5P-007,Tray carton 5-ply 600x400x120,5,600,400,120,150/120/120/120/150,28,box,830.3,3000,36000,Hosur
8,MF-CB-5P-008,Shipper carton 5-ply 350x250x200,5,350,250,200,150/120/120/120/150,28,box,444.7,9000,108000,Nelamangala
9,MF-CB-5P-009,Export carton RSC 5-ply 550x350x350,5,550,350,350,150/120/150/120/150,32,box,1046.1,2400,28800,Hosur
10,MF-CB-5P-010,Shipper carton 5-ply 420x320x260,5,420,320,260,150/120/120/120/150,28,box,691.9,5600,67200,Nelamangala
11,MF-CB-5P-011,Heavy duty carton 5-ply 650x450x400,5,650,450,400,180/120/150/120/180,32,box,1666.2,1600,19200,Hosur
12,MF-CB-5P-012,Shipper carton 5-ply 300x200x200,5,300,200,200,150/120/120/120/150,28,box,335.3,10000,120000,Nelamangala
13,MF-CB-3P-013,Inner carton 3-ply 300x200x150,3,300,200,150,150/120/150,22,box,188.0,12000,144000,Hosur
14,MF-CB-3P-014,Inner carton 3-ply 250x180x120,3,250,180,120,150/120/150,22,box,141.5,16000,192000,Hosur
15,MF-CB-3P-015,Inner carton 3-ply 350x250x180,3,350,250,180,150/120/150,25,box,271.0,9000,108000,Nelamangala
16,MF-CB-3P-016,Retail carton 3-ply 200x150x100,3,200,150,100,120/100/120,22,box,80.2,24000,288000,Hosur
17,MF-CB-3P-017,Retail carton 3-ply 180x120x90,3,180,120,90,120/100/120,22,box,59.6,30000,360000,Hosur
18,MF-CB-3P-018,Inner carton 3-ply 400x300x200,3,400,300,200,150/120/150,25,box,362.0,6000,72000,Nelamangala
19,MF-CB-3P-019,Inner carton 3-ply 320x220x160,3,320,220,160,150/120/150,22,box,218.3,11000,132000,Nelamangala
20,MF-CB-3P-020,Display carton 3-ply 380x260x140,3,380,260,140,150/120/150,25,box,268.7,5000,60000,Hosur
21,MF-CB-3P-021,Retail carton 3-ply 220x160x110,3,220,160,110,120/100/120,22,box,92.8,20000,240000,Nelamangala
22,MF-CB-3P-022,Inner carton 3-ply 280x200x140,3,280,200,140,150/120/150,22,box,176.1,14000,168000,Hosur
23,MF-SH-5P-023,Corrugated sheet 5-ply 1200x800,5,1200,800,,150/120/150/120/150,32,sheet,741.9,1800,21600,Hosur
24,MF-SH-5P-024,Corrugated sheet 5-ply 1000x700,5,1000,700,,150/120/120/120/150,28,sheet,517.4,2400,28800,Nelamangala
25,MF-SH-3P-025,Corrugated sheet 3-ply 1200x800,3,1200,800,,150/120/150,25,sheet,451.6,3000,36000,Hosur
26,MF-SH-3P-026,Corrugated sheet 3-ply 1000x700,3,1000,700,,150/120/150,22,sheet,329.3,3600,43200,Nelamangala
27,MF-SH-3P-027,Layer pad 3-ply 800x600,3,800,600,,120/100/120,22,sheet,182.8,5000,60000,Hosur
28,MF-PT-3P-028,Partition set 3-ply 12-cell for 600x400x400,3,600,400,400,120/100/120,22,partition,304.6,3600,43200,Hosur
29,MF-PT-3P-029,Partition set 3-ply 6-cell for 450x300x300,3,450,300,300,120/100/120,22,partition,128.5,6000,72000,Hosur
30,MF-PT-3P-030,Partition set 3-ply 24-cell for 500x400x300,3,500,400,300,120/100/120,22,partition,308.4,4400,52800,Nelamangala
