line_no,vendor,expected_state,expected_inr_per_1000,best_guess,orig_value,orig_unit,orig_currency,note
1,balaji,confirmed,70610,,70610,per_1000_pcs,INR,quoted per 1000 nos; 3% total discount NOT applied (ledger)
1,kohinoor,inferred,67507.69,,65820,per_1000_pcs,INR,printed rate is NET of 2.5% early-payment discount (footnote); Meridian pays at 45 days so payable = printed/0.975 → 'inferred' with discount_treatment assumption. Printed value with state 'confirmed' is accepted as alt (flagged_ok) only if a discount_treatment review item/ledger entry exists
1,westline,confirmed,68360.0,,1709.0,per_bundle,INR,bundle size stated in the same paragraph/table → vendor_stated basis
1,orientpack,inferred,69675.54,,837.95,per_1000_pcs,USD,USD×83.15; FX assumption in ledger; FOB → freight excluded
1,anand,inferred,55360.2,,42,per_kg,INR,₹42/kg × 1318.1 g/pc = ₹55360 per 1000; weight from RFx spec (rfx_spec basis)
2,balaji,confirmed,55550,,55550,per_1000_pcs,INR,quoted per 1000 nos; 3% total discount NOT applied (ledger)
2,kohinoor,inferred,55384.62,,54000,per_1000_pcs,INR,printed rate is NET of 2.5% early-payment discount (footnote); Meridian pays at 45 days so payable = printed/0.975 → 'inferred' with discount_treatment assumption. Printed value with state 'confirmed' is accepted as alt (flagged_ok) only if a discount_treatment review item/ledger entry exists
2,westline,confirmed,56760.0,,1419.0,per_bundle,INR,bundle size stated in the same paragraph/table → vendor_stated basis
2,orientpack,inferred,57475.77,,691.23,per_1000_pcs,USD,USD×83.15; FX assumption in ledger; FOB → freight excluded
2,anand,inferred,43936.2,,42,per_kg,INR,₹42/kg × 1046.1 g/pc = ₹43936 per 1000; weight from RFx spec (rfx_spec basis)
3,balaji,confirmed,38240,,38240,per_1000_pcs,INR,quoted per 1000 nos; 3% total discount NOT applied (ledger)
3,kohinoor,inferred,36892.31,,35970,per_1000_pcs,INR,printed rate is NET of 2.5% early-payment discount (footnote); Meridian pays at 45 days so payable = printed/0.975 → 'inferred' with discount_treatment assumption. Printed value with state 'confirmed' is accepted as alt (flagged_ok) only if a discount_treatment review item/ledger entry exists
